"location","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude","meanDist","nMST","eDep","eRDC","convHullCont","eVar"
388,0.706918309844566,0.674329973619348,2.2997561920818,2.9973533776933,2.00581894056952,37.969167,23.804167,2.98606794886991,0.651601124858324,0.393473363302499,0.732283130743821,37.9350646835824,0.430990618547293
389,0.906845949152529,0.712002616296398,2.74868227209392,3.52216971333357,2.01768922979437,37.980833,23.8275,2.81849874988816,0.660307211018329,0.359213601047862,0.701750409408609,49.251057487806,0.41674592396288
390,0.872931233454314,0.558711328105936,3.09043725867833,3.8904989602092,1.69957319359434,37.977222,23.833889,3.05591437258695,0.654152331332562,0.429786319544908,0.716449539544797,63.4196808123485,0.474885546953561
391,0.93258956308956,0.833652417780223,1.60744552822611,1.90759278847049,1.25085237857814,37.683056,24.040833,3.0540138345146,0.671227607780243,0.500608579404795,0.761659280608441,43.1808326866641,0.418787009773083
392,0.975539031583276,0.506843871111857,1.55587345776406,1.75446080419246,0.898064901426327,37.719444,24.015278,2.87942347769048,0.632414769968882,0.546451234806117,0.796884657063251,32.8606048994663,0.342286629781628
393,0.900799816081044,0.767837529656596,2.79265841183816,3.35665365921112,1.79908647787905,41.326944,24.031667,2.94422601508806,0.693274525328097,0.343029374621236,0.669250279551092,44.3902310962129,0.484861916098611
394,0.662394624519175,0.688347872588311,2.94809987709976,3.71485993808854,2.15070635686421,41.395278,23.666111,3.13369153191306,0.665425726869667,0.292874450763909,0.695179983565126,41.9186397779402,0.539645208699127
395,0.798958305982854,0.606306523888986,3.36261478423631,3.98419503689369,1.73940878788202,40.162222,23.877778,2.55582157559058,0.661038264286825,0.403406316890578,0.731089775420267,45.838875931523,0.324839559323386
396,0.758779619145094,0.546091779154712,2.99372536788371,3.96136452340446,1.92508488756749,40.156389,23.798611,2.77020992315668,0.675565791145345,0.436822028469942,0.701204957467623,45.4093670276588,0.350117091941361
397,0.917343723060976,0.644816701016626,3.06109484563854,3.33188097633282,1.06315949009923,40.165,23.755833,2.57430325874612,0.618170550300339,0.424908987239426,0.742297556502502,53.0797343529184,0.3653473716098
398,0.789939369900591,0.636029503001967,2.65334258632647,3.5064383298986,2.34467252896869,39.563611,22.7575,2.95696918796764,0.641085111080176,0.437532515129593,0.747187547723864,54.9628912622002,0.425492479873603
399,0.888007071553046,0.773732813323715,5.8131456833083,6.93491647217344,2.2410221857391,39.610833,22.879722,2.90394960425723,0.697941133728367,0.261935119048586,0.688670655723876,41.2574729230139,0.509247992258469
400,0.86748406537778,0.706129618504935,4.28868919669055,5.49544362840814,2.61534455580453,39.690278,22.821389,3.06594018955662,0.706857725858435,0.436800883810643,0.744238467935786,33.17723997139,0.443738389998668
401,0.846387792103321,0.733645829535928,4.09167162387971,4.9961680287701,2.51734383953639,39.682222,22.808056,2.87667057937559,0.709095304786387,0.432535610674678,0.647008629971354,42.2262556557797,0.403789562194318
402,0.853997919132964,0.806116671859546,4.20046108701221,5.38836020836893,2.82068311713848,39.561944,22.759722,3.21193955087484,0.675676348307115,0.347944973065717,0.729711104828695,46.9491624670516,0.540394321477235
403,0.856924106570719,0.811812927121761,3.77816465625195,4.6673763212877,2.6004241730286,39.513056,22.811389,3.08900443424721,0.697162166804463,0.399124034187602,0.700906190903899,42.4609130030263,0.494895471439416
404,0.887645110429363,0.747748072582458,4.62568126890841,5.94827120545439,3.02764514014312,38.85,21.046944,3.21854729838955,0.73474064345916,0.431116978480693,0.69018102729915,52.3235702712357,0.511993899772538
405,0.755434644142369,0.798688902453268,4.24197162636151,5.93085126752442,3.15370620690711,38.642222,21.089722,2.94200391664993,0.713606838700378,0.305298699980693,0.672801517445164,40.9781055662509,0.495390058224938
406,0.9298541713154,0.74404326385388,4.02538331039398,5.0242982964073,2.58078938507786,38.681944,21.607778,2.97897369639941,0.712306063257721,0.348393702492316,0.698892152534631,41.6924237786507,0.498871040264988
407,0.913246195970603,0.763249810602952,4.38964399941412,5.47888022900283,2.83181403785175,38.359444,21.605556,3.19929883834281,0.715902846779133,0.400491530010422,0.731708772678362,46.8124472905574,0.522885565382113
408,0.861070075021143,0.788356028710355,3.83455651102493,4.91559933896299,3.07018474215396,38.797778,22.335,2.83236415589282,0.697285317921231,0.310423144901933,0.58681736242262,39.1863550487813,0.461720594782851
409,0.91477734600266,0.657251663270226,3.08258786270823,3.93344638114243,1.90923512289881,38.013056,23.015833,2.7952693847791,0.664649721017364,0.451426897118134,0.729068870724667,46.760540331217,0.377266367450883
410,0.884788370673515,0.62833147062753,3.45767410597216,4.18335208936798,1.97471053910197,38.002778,23.044167,2.61071808776323,0.681908970262764,0.483941552027375,0.804272075304418,36.7055067496863,0.315824090372476
411,0.878878678595165,0.77096516882672,2.40413513649311,3.05112191945047,2.20834572664858,37.768611,26.667222,3.07135865994632,0.704903034530945,0.467881370217908,0.729207957267199,40.360223287695,0.443185966735452
412,0.846845652338912,0.758760881633016,2.80620661675904,3.53359192712722,2.59507678905296,46.031697,11.449299,2.73223861173244,0.710257715618321,0.278326428746511,0.689415233003281,33.0721138817005,0.451692292222825
413,0.833022660026871,0.751204463132759,2.9391885771017,3.73032282056637,1.92218417781836,45.998807,11.413401,3.33466866591229,0.711005490343026,0.488597414947867,0.78360514786642,49.7555145819734,0.484548492595011
414,0.770139817417493,0.712041440590855,3.89854504068202,5.12829733508216,2.75350940571973,45.992674,11.395414,2.95217743289726,0.703823709208571,0.34795066898956,0.716563358049177,37.9924255378771,0.491996422941535
415,0.692046923652583,0.784541219976694,3.35345089683197,4.66725621693629,3.15299903333273,46.009805,11.416938,3.01083081283123,0.688044009600874,0.397639233815071,0.707755585190907,42.9933595628243,0.471673673319145
416,0.846231672789962,0.770636871935775,2.87665684698098,3.51405205216156,2.24197986962345,46.440113,12.22983,2.97924406079431,0.702809617238026,0.391971381998185,0.762834465924127,40.8353619718674,0.471290231549809
417,0.813726186960851,0.653690956549356,3.13713222528548,4.01554609633457,2.28468349341724,45.246652,11.675316,2.68369883969292,0.723006600895185,0.357835548476739,0.704600886279658,26.3416856204671,0.381996177865587
418,0.692196379040849,0.729736348694077,3.50799268268214,4.46447097531246,2.57736339476818,46.281513,12.054739,3.32719109762811,0.712126684892535,0.345002934168472,0.667259846354734,43.4958337852252,0.594094736274875
419,0.74815175575274,0.727993953719323,3.68120636894154,4.78917079136661,3.14537359058248,46.103348,12.124292,2.88958603874993,0.719675675606382,0.377846835380393,0.692803846564962,42.0045485614477,0.414391527800784
420,0.889836405515785,0.790541321501711,4.76701946678951,5.87040251682303,2.47428458902429,46.144419,12.451486,3.07629283129729,0.680110571121835,0.324081703842132,0.619987907499202,55.1571587965359,0.508753956582727
